Key,Comment,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
faction.player_village,,Крестьяне,Peasants,Peasants,Rolníci,Camponeses,Campesinos,Chłopi,平民,庶民,農民,농민,Bauern,Paysannat,Popolani,Köylüler,Parasztok,Селяни,Nông dân
faction.faceless,15,Нечестивая Орда,Unholy Horde,Unholy Horde,Nesvatá horda,A Horda Profana,Horda Impía,Horda Przeklętych,邪恶部族,孽惡部族,罪深き軍団,불경한 군단,Unheilige Horde,Horde impie,Orda profana,Habis Sürü,Szentségtelen Horda,Нечиста орда,Bộ tộc ác quỷ
faction.forest_bandits,14,Лесные бандиты,Forest bandits,Forest bandits,Lesní zbojníci,Bandidos da floresta,Bandidos del bosque,Leśni bandyci,林中劫匪,林中劫匪,森の盗賊,숲속 도적단,Waldbanditen,Bandits de la forêt,Fuorilegge delle foreste,Orman haydutları,Erdei banditák,Лісові розбійники,Những tên cướp trong rừng
faction.mercenaries,8,Наемники,Mercenaries,Mercenaries,Žoldáci,Mercenários,Mercenarios,Najemnicy,雇佣兵,傭兵團,傭兵,용병,Söldner,Mercenaires,Mercenari,Paralı Askerler,Zsoldosok,Найманці,Lính đánh thuê
faction.wolves,10,Плотоволки,Fleshwolves,Fleshwolves,Hladoví vlci,Lobos-Sangrentos,Lobos devoradores,Żerwilki,饿狼,食肉狼,人喰いオオカミ,살육늑대,Säbelzahnwölfe,Loups,Lupi,Etbörüler,Húsfarkasok,Плотожери,Những con sói thịt
faction.inquisition,10,Инквизиция,Inquisition,Inquisition,Inkvizice,Inquisição,Inquisición,Inkwizycja,审判庭,審判軍,異端審問,종교재판단,Inquisition,Inquisition,Inquisizione,Engizisyon,Inkvizíció,Інквізиція,Tòa án dị giáo
faction.traders,13,Святой карван,Holy Caravan,Holy Caravan,Svatá karavana,Caravana Sagrada,Caravana Sagrada,Święta Karawana,圣商队,聖商隊,神聖なキャラバン,신성한 대상단,Heilige Karawane,Caravane sacrée,Carovana sacra,Kutsal Kervan,Szent Karaván,Священний караван,Đoàn xe thánh
faction.traders_slaves,25,Пленники святого каравана,Slaves of the Holy Caravan,Slaves of the Holy Caravan,Otroci svaté karavany,Prisioneiros da Caravana Sagrada,Esclavos de la Caravana Sagrada,Jeńcy Świętej Karawany,圣商队奴隶,聖商隊的奴隸,神聖なキャラバンの奴隷,신성한 대상단의 노예,Sklaven der Heiligen Karawane,Esclaves de la Caravane sacrée,Schiavi della Carovana sacra,Kutsal Kervan'ın köleleri,A Szent Karaván rabszolgái,Раби Священного каравану,Nô lệ của đoàn xe thánh
faction.free_lords,15,Свободные лорды,Free lords,Free lords,Svobodní lordi,Nobres livres,Señores libres,Wolni lordowie,自由领主,流浪貴族,自由領主,자유 영주,Freie Lords,Noblesse libre,Nobili liberi,Özgür Asilzadeler,Szabad nemesek,Вільні вельможі,Các lãnh chúa tự do
faction.holy_synod,13,Любящая Семья,Loving Family,Loving Family,Milující rodina,Família Amorosa,Familia Feliz,Kochający Ród,神爱之家,神愛之家,ラヴィング一族,사랑의 가족,Liebende Familie,Famille de l'étreinte divine,Famiglia benevola,Sevecen Aile,Szerető Család,Любляча сім'я,Gia đình hạnh phúc
faction.rebellious_zealots,19,Восставшие фанатики,Rebellious fanatics,Rebellious fanatics,Náboženští fanatici,Fanáticos rebeldes,Fanáticos levantiscos,Zbuntowani fanatycy,叛乱狂热信徒,叛亂狂熱信徒,反抗的な狂信者,반역 광신도,Rebellische Fanatiker,Fanatiques rebelles,Fanatici ribelli,Asi fanatikler,Lázadó fanatikusok,Бунтівні фанатики,Những kẻ cuồng tín nổi loạn
faction.rebellious_slaves,19,Восставшие пленники,Rebellious slaves,Rebellious slaves,Náboženští otroci,Prisioneiros rebeldes,Esclavos levantiscos,Zbuntowani jeńcy,叛乱奴隶,叛亂奴隸,反抗的な奴隷,반역 노예,Rebellische Sklaven,Esclaves rebelles,Schiavi ribelli,Asi köleler,Lázadó foglyok,Бунтівні раби,Những nô lệ nổi loạn
faction.rebellious_soldiers,18,Восставшие солдаты,Rebellious soldiers,Rebellious soldiers,Náboženští vojáci,Soldados rebeldes,Guerreros levantiscos,Zbuntowani wojownicy,叛乱士兵,叛亂戰士,反抗的な兵士,반역 전사,Rebellische Soldaten,Soldats rebelles,Soldati ribelli,Asi savaşçılar,Lázadó katonák,Бунтівні солдати,Những quân lính nổi loạn
faction.rebellious_heir,11,Сепаратисты,Separatists,Separatists,Separatisté,Separatistas,Separatistas,Separatyści,分裂分子,分裂份子,分離主義者,분리주의자,Separatisten,Séparatistes,Separatisti,Bölücüler,Szeparatisták,Сепаратисти,Những người ly khai
faction.mountain_bandits,,Мародеры,Marauders,Marauders,Nájezdníci,Salteadores,Saqueadores,Maruderzy,山匪,盜匪團,略奪者,약탈자,Plünderer,Maraudeurs,Predoni,Yağmacılar,Martalócok,Мародери,Những tên cướp bóc
faction.hired_bandits,16,Нанятные бандиты,Hired bandits,Hired bandits,Najatí zbojníci,Bandidos contratados,Bandidos a sueldo,Najęci bandyci,雇佣的强盗,受僱劫匪,雇われの盗賊,고용된 도적단,Auftragsbanditen,Bandits engagés,Fuorilegge assoldati,Kiralık haydutlar,Felbérelt banditák,Найняті розбійники,Những tên cướp thuê
faction.abandoned,21,Заброшенное поселение,Abandoned Settlement,Abandoned Settlement,Opuštěná osada,Cidade abandonada,Asentamiento abandonado,Opuszczona osada,废弃聚落,廢棄領地,廃墟の集落,버려진 정착지,Verlassene Siedlung,Cité abandonnée,Insediamento abbandonato,Terk Edilmiş Yerleşke,Elhagyott település,Покинуте поселення,Khu định cư bị bỏ rơi
faction.low_loyalty,10,Отступники,Renegades,Renegades,Odpadlíci,Renegados,Renegados,Renegaci,叛徒,叛國者,反逆者,변절자,Abtrünnige,Renégats,Rinnegati,Hainler,Renegátok,Відступники,Những kẻ phản loạn
faction.name.0,9,Златоград,Silverhaven,Silverhaven,Stříbrné útočiště,Refúgio Argento,Refugio Argénteo,Srebrna Przystań,银港,銀港,シルバーヘイブン,실버헤이븐,Silberhafen,Havre-cendré,Porto Argenteo,Gümüşliman,Ezüstrév,Силвергейвен,Thiên Đường Bạc
faction.name.1,14,Пыльная Долина,Dust Valley,Dust Valley,Prašné údolí,Vale da Poeira,Valle Polvoriento,Dolina Pyłu,聚尘谷,泥塵谷,砂塵の谷,더스트 밸리,Staubtal,Val-poudreux,Val Cenere,Toz Vadisi,Porvölgye,Даст-Веллі,Thung Lũng Bụi
faction.name.2,10,Ветрогорье,Windpeak,Windpeak,Větrný pahorek,Ventamonte,Pico Ventoso,Wichrogórze,迎风山,望風山,ウィンドピーク,윈드픽,Windspitze,Montvent,Picco Ventoso,Rüzgâr Tepesi,Szélorom,Уіндпік,Đỉnh Gió
faction.name.3,14,Звездный Ручей,Starstream,Starstream,Hvězdný proud,Riacho Estelar,Arroyo Estelar,Gwiazdonurt,星流,星粼川,スターストリーム,스타스트림,Sternenstrom,Ruissétoile,Corso Stellato,Yıldız Çayı,Csillagfolyam,Старстрим,Dòng Sao
faction.name.4,12,Лунное Озеро,Moonlake,Moonlake,Měsíční jezero,Lago Lunar,Lago Lunar,Księżycowa Tafla,月湖,碧月潭,ムーンレイク,문레이크,Mondsee,Lunolac,Lago Lunare,Mehtap Gölü,Holdtó,Мунлейк,Hồ Trăng
faction.name.5,9,Искроград,Sparksville,Sparksville,Jiskrov,Vila Centelha,Villa Chispa,Iskrograd,星火镇,星苗鄉,スパークスヴィル,스파크빌,Funkenheim,Villueur,Città Favilla,Kıvılcım Köyü,Csillámváros,Спарксвіл,Thị trấn Đốm Lửa
faction.name.6,11,Кристальник,Crystallight,Crystallight,Křišťálové světlo,Luz Cristalina,Luz Cristalina,Blaskryształ,晶光城,晶光城,クリスタルライト,크리스탈라이트,Kristallien,Cristalueur,Luce Cristallina,Kristal Nuru,Kristályfény,Кристаллайт,Ánh Sáng Kính
faction.name.7,11,Звездолесье,Stardale,Stardale,Hvězdné údolí,Vale Estelar,Valle Estelar,Gwiazdolesie,坠星谷,星珍谷,スターデイル,스타데일,Sterntal,Vallétoile,Valle Astra,Yıldız Vadisi,Csillagvölgy,Стардейл,Thung lũng Sao
faction.name.8,9,Воронград,Enchantment,Enchantment,Očarování,Encanto,Encantamiento,Czarownia,魔境,迷人鄉,エンチャントメント,인챈트먼트,Verwünschung,Charmoie,Incanto,Efsun,Bűbáj,Енчантмент,Huyền Bí
faction.name.9,10,Древолесье,Treewood,Treewood,Stromořadí,Bosque Arbor,Bosque Frondoso,Drzewięcin,荫庇之地,樹伍德,ツリーウッド,트리우드,Baumholz,Sylvebois,Forestaria,Ağaçorman,Fásliget,Тривуд,Rừng Cây
faction.name.10,9,Луноземье,Moonrealm,Moonrealm,Měsíční říše,Reino Lunar,Reino Lunar,Księżyców,月之境,桂月郡,ムーンレルム,문레암,Mondreich,Terre-de-lune,Regno Lunare,Ay Diyarı,Holdudvar,Мунрелм,Vùng Trăng
faction.name.11,8,Велимгла,Greatmist,Greatmist,Velká mlha,Nevoeiro,Niebla Extensa,Wielkomgła,漫雾城,霧都,グレートミスト,그레이트미스트,Großnebel,Grand-brume,Gran Bruma,Yüce Sis,Nagyköd,Ґрейтмист,Sương Mù Vĩ Đại
faction.name.12,9,Яркодолье,Brightvale,Brightvale,Jasné údolí,Vale Brilhante,Valle Brillante,Jasnostok,光明谷,耀靈谷,ブライトヴェイル,브라이트베일,Prachttal,Valléclaire,Valle Lucente,Parlak Vadi,Fényvölgy,Брайтвейл,Thung Lũng Sáng
faction.name.13,10,Мистхейвен,Misthaven,Misthaven,Mlžné útočiště,Refúgio das Névoas,Refugio Nublado,Mgłowo,雾港,霧隱灣,ミストヘイブン,미스트헤이븐,Nebelfurt,Havre-de-brume,Porto Brumoso,Sis Cenneti,Ködrév,Мистгейвен,Đầm Lầy
faction.name.14,8,Златомир,Goldshire,Goldshire,Zlatý kraj,Distrito Áureo,Comarca Áurea,Złotomir,金郡,金郡,ゴールドシャイン,골드셔,Goldland,Comté-d'or,Contea Aurea,Altın Tepesi,Aranyhatár,Ґолдшайр,Lục địa Vàng
faction.name.15,7,Искровь,Sparkfall,Sparkfall,Jiskropád,Queda das Centelhas,Chispacaída,Iskierkin,星火流,花瀑塘,スパークフォール,스파크폴,Funkelfell,Bluette,Cascata Lapillo,Kıvılcım Yamacı,Csillámhullás,Спаркфол,Tia Lửa Rơi
faction.name.16,8,Озерград,Lakehold,Lakehold,Jezírkov,Domínio do Lago,Fuerte del Lago,Jeziorograd,湖卫堡,萊克堡,レイクホールド,레이크홀드,Seeholde,Geôlac,Rocca Lacustre,Göl Kalesi,Tómeder,Лейкголд,Hồ Pháo Đài
faction.name.17,10,Драконорог,Dragonhorn,Dragonhorn,Dračí roh,Chifre do Dragão,Cuerno de Dragón,Smokoróg,龙之角,龍角郡,ドラゴンホーン,드래곤혼,Drachenhorn,Cornedragon,Corno del Drago,Ejderha Kalesi,Sárkányszarv,Драґонгорн,Sừng Rồng
faction.name.18,13,Зеленый шпиль,Greenspire,Greenspire,Zelená věž,Verdiral,Aguja Verde,Zielony Wierch,绿尖塔,翠峰村,グリーンスパイア,그린스파이어,Gründorn,Verteflèche,Cima Florida,Yeşil Kule,Zöldcsúcs,Ґрінспайр,Làng Thôi Phong
faction.name.19,8,Сумракон,Twilighton,Twilighton,Soumračnov,Crepuscúlia,Crepusculia,Zmierzchowisko,暮光镇,暮光鎮,トワイライトン,트와일라이튼,Zwielichtingen,Terre-du-couchant,Borgo Crepuscolare,Alaca Karanlık Şehri,Homályos,Твайлайтон,Vùng Đất Hoàng Hôn
faction.name.20,10,Кристаллия,Crystallia,Crystallia,Křišťálie,Cristália,Cristalia,Krysztalia,晶辉国,晶塔利亞,クリスタリア,크리스탈리아,Kristallia,Cristalia,Cristallia,Kristal Şehir,Kristália,Кристаліа,Pha Lê
faction.name.21,10,Чудноверье,Wonderlore,Wonderlore,Bájkraj,Zona Esplêndida,Milagrosa,Cudowierze,传说境,奇譚郡,ワンダーロア,원더로어,Wunderkunde,Gué-des-merveilles,Stupor Aspro,Mucizeler Şehri,Csodatan,Вондерлор,Cổ Tích
faction.name.22,10,Льдинкастл,Frostkeep,Frostkeep,Mrazivá pevnost,Fortaleza Gelada,Fuerte Gélido,Mrozodwór,冰霜堡,弗斯特堡,フロストキープ,프로스트킵,Frostfeste,Fort-givré,Forte Gelato,Buz Kapısı,Fagyvár,Фросткіп,Lâu đài băng
faction.name.23,8,Зверинка,Beastwood,Beastwood,Šelmoles,Bosque das Feras,Bosque de las Bestias,Zwierzyniec,兽林,奇獸林,ビーストウッド,비스트우드,Bestienwalde,Sylvebête,Bosco Ferale,Canavar Ormanları,Vadasberek,Біствуд,Vịnh Vàng
faction.name.24,10,Волнарынок,Wave Market,Wave Market,Vlnový trh,Mercado das Ondas,Mercado de las Olas,Falotarg,波涛市场,灣濤市場,ウェーブマーケット,웨이브 마켓,Wellenmarkt,Raz-de-marché,Mercato Ondoso,Dalga Pazarı,Hullámpiac,Вейв-Маркет,Chợ Sóng
faction.name.25,8,Заросень,Overgrowth,Overgrowth,Nadrost,Grande Expansão,Frondosia,Gąszcze,蔓生域,蔓萊,オーバーグロウ,오버그로스,Überwuchs,Luxuriance,Verdefolto,Bereket Şehri,Bozontos,Оверґроуз,Khu vực phát triển
faction.name.26,11,Сказочекань,Fairytale Glen,Fairytale Glen,Pohádkový háj,Vale dos Conto de Fadas,Claro de las Hadas,Bajkojar,童话谷,童話谷,フェアリーテイル・グレン,페어리테일 글렌,Märchenschlucht,Vallée-aux-fées,Valle Fatata,Masal Deresi,Tündér-árok,Фейрітейл-Ґлен,Thung lũng cổ tích
faction.name.27,14,Ледяное Ущелье,Icy Gorge,Icy Gorge,Ledová rokle,Desfiladeiro Glacial,Garganta Helada,Lodowa Szczelina,冰雪峡,冰封峽谷,アイシィ・ジョージ,아이시 고지,Eisklamm,Gorgivre,Forra Gelata,Buz Geçidi,Jeges-szurdok,Айсі-Ґордж,Hẻm núi băng giá
