Key,Comment,Russian,English,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
faction.name.28,12,Мраковый Лес,Darkwood,Darkwood,Temný les,Bosque Sombrio,Bosque Oscuro,Mrokolas,暗林,玄木林,ダークウッド,다크우드,Dunkelwald,Forêt-noire,Bosco Tetro,Karaorman,Sötétliget,Дарквуд,Rừng tối
faction.name.29,15,Зеркальный Пруд,Mirror Pond,Mirror Pond,Zrcadlový rybník,Lago Espelhado,Charca Espejo,Lustrzany Staw,镜池,鏡湖,ミラーポンド,미러 폰드,Spiegelteich,Brillétang,Pozza Argentea,Ayna Gölü,Tükörtó,Мірор-Понд,Ao Gương
faction.name.30,16,Теневая Крепость,Twilight Fortress,Twilight Fortress,Soumračná pevnost,Fortaleza Crepuscular,Fortaleza del Ocaso,Twierdza Mroku,暮光堡,曙光堡,トワイライト・フォレスト,트와일라잇 포트리스,Dämmerungsfeste,Fort-du-couchant,Forte Crepuscolare,Alaca Karanlık Kalesi,Homályerőd,Твайлайт-Фортрес,Pháo đài hoàng hôn
faction.name.31,12,Водопад Снов,Dreamfall,Dreamfall,Snový pád,Queda dos Sonhos,Oniria,Wodospad Snów,梦坠岭,幻夢泉,ドリームフォール,드림폴,Traumfell,Mascarêve,Salto Sognante,Rüya Tepesi,Álomhullás,Дримфол,Đồi Mộng Mơ
faction.name.32,15,Изумрудный Холм,Emerald Hill,Emerald Hill,Smaragdový kopec,Colina Esmeralda,Colina Esmeralda,Szmaragdogóra,翡丘,翡翠丘,エメラルド・ヒル,에메랄드 힐,Smaragdhügel,Coteau-smaragdin,Colle Smeraldo,Zümrüttepe,Smaragd-hegy,Емералд-Ґіл,Đồi Ngọc Lục Bảo
faction.name.33,14,Жаркий Пустырь,Goldhaven,Goldhaven,Zlaté útočiště,Refúgio Áureo,Refugio Áureo,Złoty Przestwór,金港,黃金港,ゴールドヘイブン,골드헤이븐,Goldhafen,Havredor,Rifugio Aureo,Altın Cenneti,Aranyrév,Ґолдгейвен,Thiên Đường Vàng
faction.name.34,15,Серебряная Река,Silver River,Silver River,Stříbrná řeka,Rio Argento,Río Argénteo,Srebrostruga,亮银河,銀川,シルバーリバー,실버 리버,Silberfluss,Flot-cendré,Fiume Argenteo,Gümüş Nehir,Ezüst-folyó,Силвер-Ривер,Sông Bạc
faction.name.35,16,Затерянный Город,Lost City,Lost City,Ztracené město,Cidade Perdida,Ciudad Perdida,Zaginione Miasto,迷失城,失落之城,ロストシティ,로스트 시티,Verlorene Stadt,Citégarée,Città Perduta,Kayıp Şehir,Elveszett Város,Лост-Сіті,Thành phố đã mất
faction.name.36,16,Грозовая Вершина,Thunder Peak,Thunder Peak,Hromový pahorek,Trovamonte,Pico Tormentoso,Grzmotoszczyt,雷霆峰,雷霆峰,サンダーピーク,선더 픽,Donnerspitze,Capéclair,Picco Tonante,Fırtına Tepesi,Robajcsúcs,Сандер-Пік,Đồi Sấm
faction.name.37,14,Пыльный Камень,Dustrock,Dustrock,Prachová skála,Rocha da Poeira,Roca Polvorienta,Kurzawka,沙尘岩,塵土巖,ダストロック,더스트록,Staubfels,Roc-poudreux,Roccia Cinerea,Toz Kayası,Porszirt,Дастрок,Đá Bụi
faction.name.38,12,Живая Долина,Living Valley,Living Valley,Živé údolí,Vale Vivo,Valle Vivaz,Żywa Dolina,生机谷,活力谷,リヴィングバレー,리빙 밸리,Lebendiges Tal,Val-de-vie,Valle Vivente,Yaşayan Vadi,Élő-völgy,Ливин-Веллі,Thung Lũng Sinh Sống
faction.name.39,16,Янтарный Рассвет,Amber Dawn,Amber Dawn,Jantarový úsvit,Alvorada de Âmbar,Alba Ámbar,Bursztynowy Świt,琥晓,拂曉村,アンバードーン,앰버 던,Bernsteinbruch,Potron-ambré,Ambraurora,Kehribar Tepesi,Borostyánhajnal,Ембер-Дон,Bình Minh Hổ Phách
faction.name.40,19,Кристалловая Пещера,Crystal Cave,Crystal Cave,Křišťálová jeskyně,Caverna de Cristal,Cueva Cristalina,Kryształowa Jama,晶洞,晶巖洞,クリスタルケイブ,크리스탈 케이브,Kristallhöhle,Trémicave,Grotta Cristallina,Kristal Mağarası,Kristálybarlang,Кристал-Кейв,Hang Pha Lê
faction.name.41,19,Изумрудный Лабиринт,Emerald Maze,Emerald Maze,Smaragdové bludiště,Labirinto Esmeralda,Laberinto Esmeralda,Szmaragdzina,翡迷,翡翠陣,エメラルドメイズ,에메랄드 메이즈,Smaragdgarten,Dédale-vert,Dedalo Smeraldo,Zümrüt Labirenti,Smaragd-útvesztő,Емералд-Мейз,Mê cung ngọc lục bảo
faction.name.42,13,Звездная Роща,Starry Grove,Starry Grove,Hvězdný háj,Alameda Estrelada,Arboleda Estrellada,Gwiezdny Gaj,星林,繁星園,スターリーグローブ,스태리 그로브,Himmelshain,Bosquétoilé,Selva Stellare,Yıldızkoru,Csillagpagony,Старі-Ґроув,Rừng Sao
faction.name.43,14,Пылающий Венец,Blaze Crown,Blaze Crown,Žárová koruna,Coroa das Chamas,Corona Flamígera,Blaskowisko,烈冠,燄冠城,ブレイズクラウン,블레이즈 크라운,Loderkrone,Brillecouronne,Corona Ardente,Ateş Tacı,Lángkorona,Блейз-Краун,Vương Miện Hỏa Diệm
faction.name.44,11,Златоградия,Goldhaven,Goldhaven,Zlaté útočiště,Refúgio Áureo,Refugio Áureo,Złoty Przestwór,金港,黃金港,ゴールドヘイブン,골드헤이븐,Goldhafen,Havredor,Rifugio Aureo,Altın Cenneti,Aranyrév,Ґолдгейвен,Thiên Đường Vàng
faction.name.45,11,Ясновесенье,Clearmoon,Clearmoon,Jasný měsíc,Lua Clara,Luna Clara,Jasnogród,清月,明月鄉,クリアムーン,클리어문,Klarmond,Clair-de-lune,Lunargentea,Berrak Ay,Tisztahold,Клирмун,Mặt Trăng Sáng
faction.name.46,9,Ветрогонь,Windblaze,Windblaze,Větrný žár,Chama dos Ventos,Viento Llameante,Wiatrogoń,风炎,風捲城,ウィンドブレイズ,윈드블레이즈,Windbrand,Brasevent,Vampa Ventosa,Rüzgârlı Diyar,Széllobbanás,Уіндблейз,Gió Lửa
faction.name.47,9,Звездодом,Starhome,Starhome,Hvězdomov,Lar Estelar,Hogar Estelar,Gwiazdodom,星居,星之家,スターホーム,스타홈,Sternheim,Nidastre,Dimora Astrale,Yıldız Evi,Csillaglak,Старгоум,Nhà Sao
faction.name.48,8,Луноброд,Raven Town,Raven Town,Krkavčí město,Cidade do Corvo,Villacuervo,Łunogród,渡鸦镇,烏鴉鎮,レイヴェンタウン,레이븐 타운,Rabenstadt,Corville,Città Corvina,Kuzgun Kasabası,Hollófalva,Рейвен-Таун,Thị Trấn Quạ
faction.name.49,7,Теневод,Shadowglide,Shadowglide,Stínoles,Deslize Sombrio,Rampa Sombría,Cieniowód,影驰,騰影城,シャドウグライド,섀도우글라이드,Schattenglatt,Sombrepertuis,Ombra Fluente,Gölge Çayı,Árnysetten,Шадоуґлайд,Bóng Tối Lướt
faction.name.50,9,Искротень,Sparkvale,Sparkvale,Jiskrné údolí,Vale Centelha,Valle Chispa,Iskrocień,火谷,星苗谷,スパークヴァイル,스파크베일,Funkentale,Valléclair,Val Favilla,Kıvılcım Vadisi,Csillámvölgy,Спарквейл,Thung lũng tia lửa
faction.name.51,10,Древолесье,Treewood,Treewood,Stromořadí,Bosque Arbor,Bosque Frondoso,Drzewięcin,荫庇之地,樹伍德,ツリーウッド,트리우드,Baumholz,Sylvebois,Forestaria,Ağaçorman,Fásliget,Тривуд,Rừng Cây
faction.name.52,10,Мерцдолина,Gleamvale,Gleamvale,Šeré údolí,Vale Vislumbrante,Valle Resplandeciente,Lśniowądół,闪谷,微光谷,グリームヴァイル,글림베일,Schimmertal,Valueur,Val Baleno,Işık Vadisi,Sziporvölgy,Ґлимвейл,Thung Lũng Lấp Lánh
faction.name.53,8,Подземия,Underkeep,Underkeep,Podhradí,Subtérreo,Fortaleza Inferior,Podziemie,底堡,盎德堡,アンダーキープ,언더킵,Unterfeste,Clocheton,Sottorocca,Altkale,Váralja,Андеркіп,Hầm Dưới Đất
faction.name.54,8,Волшвраг,Enchantedge,Enchantedge,Čarovný roh,Beira Encantada,Filo Encantado,Czaroskraj,魔缘,迷人崖,エンチャンテイジ,인챈티지,Wunschrand,Charmorée,Finincanto,Büyülü Yamaç,Bűvperem,Енчантедж,Lưỡi Đao Huyền Bí
faction.name.55,11,Кристальник,Crystallight,Crystallight,Křišťálové světlo,Luz Cristalina,Luz Cristalina,Blaskryształ,晶光城,晶光城,クリスタルライト,크리스탈라이트,Kristallien,Cristalueur,Luce Cristallina,Kristal Nuru,Kristályfény,Кристаллайт,Thành phố pha lê
faction.name.56,12,Забытоскрещь,Forgottenreach,Forgottenreach,Zapomenutý kraj,Alcance Esquecido,Tramo Olvidado,Dawnyfort,忘域,忘卻岬,フォーゴットンリーチ,포가튼리치,Vergissheim,Portoubli,Terra Obliata,Unutulmuş Ova,Feledvég,Форґотенрич,Cánh Đồng Bỏ Quên
faction.name.57,6,Пылачь,Blazefall,Blazefall,Žáropád,Queda das Chamas,Llama Caída,Pylicz,烈瀑,熾光瀑,ブレイズフォール,블레이즈폴,Glanzfall,Déferleflamme,Cascatardente,Alev Yokuşu,Lánghullás,Блейзфол,Ngọn Lửa Tắt
faction.name.58,8,Мечтвысь,Dreamcrest,Dreamcrest,Snový erb,Cume dos Sonhos,Cresta Onírica,Marzeniec,幻梦峰,夢之脊,ドリームクレスト,드림크레스트,Traumgrat,Crête-aux-songes,Cresta Onirica,Rüya Tepesi,Álombérc,Дримкрест,Đỉnh Mơ
faction.name.59,10,Морозкарст,Frostpeak,Frostpeak,Mrazivá hora,Geamonte,Pico Congelado,Mroziglica,冰霜峰,霜雪峰,フロストピーク,프로스트픽,Frostspitze,Frimacime,Picco Gelato,Buz Tepesi,Fagyoscsúcs,Фростпік,Đỉnh Băng
faction.name.60,8,Велимгла,Greatmist,Greatmist,Velká mlha,Nevoeiro,Niebla Extensa,Wielkomgła,漫雾城,霧都,グレートミスト,그레이트미스트,Großnebel,Grand-brume,Gran Bruma,Yüce Sis,Nagyköd,Ґрейтмист,Sương Mù Vĩ Đại
faction.name.61,10,Зверошелье,Beasthaven,Beasthaven,Zvířetník,Refúgio das Feras,Refugio de la Bestia,Zwierzostoja,兽港,獸窩村,ビーストヘイブン,비스트헤이븐,Biesthafen,Havre-aux-bêtes,Rifugio Ferale,Canavar Cenneti,Vadrév,Бістгейвен,Thị Trấn Thú
faction.name.62,9,Потарынок,Hiddenspire,Hiddenspire,Tajná věž,Pinoculto,Aguja Oculta,Zapomnienie,隐塔,孤隱山,ヒドゥンスパイク,히든스파이어,Hinterfelsnadel,Flèchocculte,Cima Nascosta,Gizli Kule,Búvottcsúcs,Гіднспайр,Ngọn Núi Ẩn
faction.name.63,7,Заровал,Overcanyon,Overcanyon,Nadkaňon,Desfiladeiro Superior,Sobrecañón,Zarwał,越峡,坳福峽谷,オーバーキャニオン,오버캐년,Überschlucht,Grangouffre,Sopraforra,Büyük Kanyon,Átszurdok,Оверкенйон,Hẻm Núi
faction.name.64,15,Ветряная Поляна,Windy Meadow,Windy Meadow,Větrná louka,Prado Ventoso,Pradera Ventosa,Wietrzna Polana,风草,風茵原,ウィンディメドウ,윈디 미도우,Sturmwiesen,Souffle-plaine,Prato Ventoso,Rüzgârlı Kır,Szelesrét,Уінді-Медоу,Đồng Cỏ Gió
faction.name.65,13,Темная Пещера,Dark Cave,Dark Cave,Temná jeskyně,Caverna Sombria,Cueva Oscura,Czarna Pieczara,暗洞,冥巖,ダークケイブ,다크 케이브,Dunkelhöhle,Sombregrotte,Grotta Oscura,Karanlık Mağara,Sötétodú,Дарк-Кейв,Hang Tối
faction.name.66,15,Ледяной Перекат,Icy Cascade,Icy Cascade,Ledová kaskáda,Cascata Glacial,Cascada Gélida,Lodobystrze,冰瀑,冰封瀑布,アイシィカスケード,아이시 캐스케이드,Eiskaskade,Chute-de-gel,Cascata Gelata,Buzlu Şelale,Jégzuhatag,Айсі-Кескейд,Thác Băng
faction.name.67,16,Магический Город,Mystic City,Mystic City,Tajemné město,Cidade Mística,Ciudad Mística,Urokogród,幻城,玄奧城,ミスティックシティ,미스틱 시티,Mystische Stadt,Mysticité,Città Mistica,Gizemli Şehir,Titokvár,Містик-Сіті,Thành Phố Huyền Bí
faction.name.68,15,Бесшумный Берег,Silent Shore,Silent Shore,Tichý břeh,Costa Silenciosa,Costa Silente,Cichy Brzeg,寂静之滨,靜默灣,サイレントショア,사일런트 쇼어,Stille Ufer,Rive-du-silence,Costa Silente,Sessiz Sahil,Csendespart,Сайлент-Шор,Bờ Biển Im Lặng
faction.name.69,13,Дремучий Куст,Dense Thicket,Dense Thicket,Husté houští,Matagal Espesso,Matorral Denso,Gęstwina,密丛,密林,デンススィケト,덴스 티킷,Dichtstrupp,Ronciépais,Selvaspessa,Sıkçalı,Sötétbozót,Денс-Сикет,Rừng Rậm
faction.name.70,16,Пылающий Рассвет,Blazing Dawn,Blazing Dawn,Plamenný úsvit,Alvorada Ardente,Alba Llameante,Lśniblask,烈晓,拾光城,ブレイジングドーン,블레이징 던,Flammenröte,Flambantin,Albardente,Alevli Şafak,Lánghajnal,Блейзин-Дон,Bình Minh Bừng Cháy
faction.name.71,11,Живой Оазис,Living Oasis,Living Oasis,Živá oáza,Oásis Vivo,Oasis Vivaz,Żywa Oaza,生机绿洲,利命綠洲,リヴィングオアシス,리빙 오아시스,Lebendige Oase,Vivoasis,Oasi Vivente,Yaşayan Vaha,Serényliget,Ливин-Оейзис,Ốc đảo sống
faction.name.72,18,Солнечный Переулок,Sunlit Alley,Sunlit Alley,Prosluněné údolí,Beco Iluminado,Callejón Soleado,Słoneczny Zakątek,阳巷,晨吻巷,サンリットアレー,선릿 앨리,Sonnenlichtpfad,Solallée,Via Assolata,Gün Işığı Vadisi,Naposköz,Санлит-Еллі,Ngõ Ánh Nắng
faction.name.73,14,Туманный Ручей,Misty Brook,Misty Brook,Mlžný potok,Córrego Nebuloso,Arroyo Nublado,Mglisty Ruczaj,雾溪,霧溪城,ミスティブルック,미스티 브룩,Nebelbach,Ru-de-brume,Rio Brumoso,Gizemli Dere,Ködöspatak,Місті-Брук,Suối Sương Mù
faction.name.74,16,Потерянный Страж,Lost Sentinel,Lost Sentinel,Ztracený strážce,Sentinela Perdido,Centinela Perdido,Zaginiona Straż,迷失哨所,落失哨,ロストセンチネル,로스트 센티넬,Verlorene Wacht,Vigisparue,Sentinella Perduta,Kayıp Korucu,Kószaőr,Лост-Сентинел,Người Canh Gác Bỏ Quên
faction.name.75,13,Златовершинка,Goldenspike,Goldenspike,Zlatý hrot,Ponta Áurea,Punta Dorada,Złotogrzbiet,金刺,高燈嶺,ゴールデンスパイク,골든스파이크,Goldenspitz,Capdor,Picco Dorato,Altın Mızrak,Aranyszeg,Ґолденспайк,Gai Vàng
faction.deserted_soldiers,,Дезертиры,Deserters,Deserters,Zběhové,Desertores,Desertores,Dezerterzy,逃兵流寇,逃兵流寇,脱走兵,탈영병,Deserteure,Désertion,Disertori,Firariler,Dezertőrök,Дезертири,Những kẻ đào ngũ